energy,attenuation
1.00E-03,3.71E+03
1.04E-03,3.39E+03
1.07E-03,3.09E+03
1.07E-03,3.10E+03
1.50E-03,1.25E+03
2.00E-03,5.60E+02
2.15E-03,4.58E+02
2.15E-03,4.65E+02
2.30E-03,3.80E+02
2.47E-03,3.10E+02
2.47E-03,3.16E+02
2.64E-03,2.61E+02
2.82E-03,2.16E+02
2.82E-03,2.19E+02
3.00E-03,1.84E+02
3.61E-03,1.07E+02
3.61E-03,1.11E+02
4.00E-03,8.16E+01
5.00E-03,4.22E+01
6.00E-03,2.46E+01
8.00E-03,1.04E+01
1.00E-02,5.38E+00
1.50E-02,1.70E+00
2.00E-02,8.23E-01
3.00E-02,3.79E-01
4.00E-02,2.69E-01
5.00E-02,2.26E-01
6.00E-02,2.05E-01
8.00E-02,1.82E-01
1.00E-01,1.69E-01
1.50E-01,1.49E-01
2.00E-01,1.36E-01
3.00E-01,1.18E-01
4.00E-01,1.05E-01
5.00E-01,9.60E-02
6.00E-01,8.87E-02
8.00E-01,7.79E-02
1.00E+00,7.01E-02
1.25E+00,6.27E-02
1.50E+00,5.70E-02
2.00E+00,4.90E-02
3.00E+00,3.93E-02
4.00E+00,3.37E-02
5.00E+00,3.00E-02
6.00E+00,2.74E-02
8.00E+00,2.40E-02
1.00E+01,2.19E-02
1.50E+01,1.92E-02
2.00E+01,1.79E-02
