energy,attenuation
1.00E-03,3.76E+03
1.50E-03,1.28E+03
1.84E-03,7.30E+02
1.84E-03,7.42E+02
2.00E-03,5.87E+02
3.00E-03,1.85E+02
4.00E-03,7.96E+01
5.00E-03,4.11E+01
6.00E-03,2.38E+01
8.00E-03,1.01E+01
1.00E-02,5.18E+00
1.50E-02,1.62E+00
2.00E-02,7.79E-01
3.00E-02,3.54E-01
4.00E-02,2.48E-01
5.00E-02,2.08E-01
6.00E-02,1.87E-01
8.00E-02,1.66E-01
1.00E-01,1.54E-01
1.50E-01,1.36E-01
2.00E-01,1.23E-01
3.00E-01,1.07E-01
4.00E-01,9.56E-02
5.00E-01,8.72E-02
6.00E-01,8.06E-02
8.00E-01,7.08E-02
1.00E+00,6.37E-02
1.25E+00,5.69E-02
1.50E+00,5.18E-02
2.00E+00,4.45E-02
3.00E+00,3.58E-02
4.00E+00,3.08E-02
5.00E+00,2.75E-02
6.00E+00,2.52E-02
8.00E+00,2.22E-02
1.00E+01,2.03E-02
1.50E+01,1.79E-02
2.00E+01,1.68E-02
