energy,attenuation
1.00E-03,3.78E+03
1.04E-03,3.45E+03
1.07E-03,3.15E+03
1.07E-03,3.16E+03
1.18E-03,2.43E+03
1.31E-03,1.87E+03
1.31E-03,1.88E+03
1.50E-03,1.30E+03
2.00E-03,5.87E+02
2.15E-03,4.82E+02
2.15E-03,7.11E+02
2.30E-03,5.92E+02
2.47E-03,4.91E+02
2.47E-03,4.96E+02
3.00E-03,2.96E+02
4.00E-03,1.33E+02
4.04E-03,1.30E+02
4.04E-03,3.33E+02
5.00E-03,1.92E+02
6.00E-03,1.17E+02
8.00E-03,5.32E+01
1.00E-02,2.85E+01
1.50E-02,9.03E+00
2.00E-02,4.00E+00
3.00E-02,1.33E+00
4.00E-02,6.66E-01
5.00E-02,4.24E-01
6.00E-02,3.15E-01
8.00E-02,2.23E-01
1.00E-01,1.86E-01
1.50E-01,1.48E-01
2.00E-01,1.31E-01
3.00E-01,1.11E-01
4.00E-01,9.91E-02
5.00E-01,9.02E-02
6.00E-01,8.33E-02
8.00E-01,7.31E-02
1.00E+00,6.57E-02
1.25E+00,5.87E-02
1.50E+00,5.35E-02
2.00E+00,4.61E-02
3.00E+00,3.75E-02
4.00E+00,3.26E-02
5.00E+00,2.95E-02
6.00E+00,2.73E-02
8.00E+00,2.47E-02
1.00E+01,2.31E-02
1.50E+01,2.13E-02
2.00E+01,2.07E-02
