energy,attenuation
1.00E-03,1.89E+03
1.50E-03,6.00E+02
2.00E-03,2.59E+02
3.00E-03,7.74E+01
4.00E-03,3.24E+01
5.00E-03,1.64E+01
6.00E-03,9.43E+00
8.00E-03,3.98E+00
1.00E-02,2.09E+00
1.50E-02,7.45E-01
2.00E-02,4.32E-01
3.00E-02,2.71E-01
4.00E-02,2.28E-01
5.00E-02,2.08E-01
6.00E-02,1.97E-01
8.00E-02,1.82E-01
1.00E-01,1.72E-01
1.50E-01,1.53E-01
2.00E-01,1.40E-01
3.00E-01,1.22E-01
4.00E-01,1.09E-01
5.00E-01,9.95E-02
6.00E-01,9.20E-02
8.00E-01,8.08E-02
1.00E+00,7.26E-02
1.25E+00,6.50E-02
1.50E+00,5.91E-02
2.00E+00,5.06E-02
3.00E+00,4.05E-02
4.00E+00,3.44E-02
5.00E+00,3.05E-02
6.00E+00,2.76E-02
8.00E+00,2.38E-02
1.00E+01,2.15E-02
1.50E+01,1.82E-02
2.00E+01,1.66E-02
