energy,attenuation
1.00E-03,4.08E+03
1.50E-03,1.38E+03
2.00E-03,6.17E+02
3.00E-03,1.93E+02
4.00E-03,8.28E+01
5.00E-03,4.26E+01
6.00E-03,2.46E+01
8.00E-03,1.04E+01
1.00E-02,5.33E+00
1.50E-02,1.67E+00
2.00E-02,8.10E-01
3.00E-02,3.76E-01
4.00E-02,2.68E-01
5.00E-02,2.27E-01
6.00E-02,2.06E-01
8.00E-02,1.84E-01
1.00E-01,1.71E-01
1.50E-01,1.51E-01
2.00E-01,1.37E-01
3.00E-01,1.19E-01
4.00E-01,1.06E-01
5.00E-01,9.69E-02
6.00E-01,8.96E-02
8.00E-01,7.87E-02
1.00E+00,7.07E-02
1.25E+00,6.32E-02
1.50E+00,5.75E-02
2.00E+00,4.94E-02
3.00E+00,3.97E-02
4.00E+00,3.40E-02
5.00E+00,3.03E-02
6.00E+00,2.77E-02
8.00E+00,2.43E-02
1.00E+01,2.22E-02
1.50E+01,1.94E-02
2.00E+01,1.81E-02
